"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","+1"
"3",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","-1"
"4",1,"Cooper Kupp",LAR,"WR3","10","3 out of 5 stars","+2"
"5",1,"Tyreek Hill",MIA,"WR4","10","3 out of 5 stars","+2"
"6",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-1"
"7",2,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","-3"
"8",2,"Stefon Diggs",BUF,"WR5","13","2 out of 5 stars","+2"
"9",2,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","+2"
"10",2,"Amon-Ra St. Brown",DET,"WR7","9","3 out of 5 stars","+9"
"11",2,"Saquon Barkley",NYG,"RB3","13","2 out of 5 stars","-3"
"12",2,"A.J. Brown",PHI,"WR8","10","3 out of 5 stars","+2"
"13",2,"Davante Adams",LV,"WR9","13","2 out of 5 stars","-1"
"14",3,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","+4"
"15",3,"Tony Pollard",DAL,"RB4","7","3 out of 5 stars","+2"
"16",3,"Bijan Robinson",ATL,"RB5","11","4 out of 5 stars","-7"
"17",3,"Nick Chubb",CLE,"RB6","5","3 out of 5 stars","-4"
"18",3,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","+6"
"19",3,"Chris Olave",NO,"WR12","11","4 out of 5 stars","+6"
"20",3,"Derrick Henry",TEN,"RB7","7","4 out of 5 stars","-4"
"21",4,"DeVonta Smith",PHI,"WR13","10","3 out of 5 stars","+5"
"22",4,"Josh Jacobs",LV,"RB8","13","3 out of 5 stars","-2"
"23",4,"Keenan Allen",LAC,"WR14","5","3 out of 5 stars","+19"
"24",4,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-9"
"25",4,"Tee Higgins",CIN,"WR15","7","4 out of 5 stars","+4"
"26",4,"Jalen Hurts",PHI,"QB2","10","3 out of 5 stars","-3"
"27",4,"Jonathan Taylor",IND,"RB9","11","3 out of 5 stars","-5"
"28",4,"Josh Allen",BUF,"QB3","13","3 out of 5 stars","-7"
"29",4,"Rhamondre Stevenson",NE,"RB10","11","2 out of 5 stars","+3"
"30",4,"DK Metcalf",SEA,"WR16","5","3 out of 5 stars","+1"
"31",4,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","-3"
"32",4,"Joe Mixon",CIN,"RB11","7","3 out of 5 stars","+1"
"33",4,"Calvin Ridley",JAC,"WR17","9","4 out of 5 stars","+4"
"34",4,"Amari Cooper",CLE,"WR18","5","3 out of 5 stars","+7"
"35",4,"Najee Harris",PIT,"RB12","6","3 out of 5 stars","-8"
"36",5,"Aaron Jones",GB,"RB13","6","4 out of 5 stars","+2"
"37",5,"Deebo Samuel",SF,"WR19","9","3 out of 5 stars","+2"
"38",5,"Jahmyr Gibbs",DET,"RB14","9","5 out of 5 stars","-2"
"39",5,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-4"
"40",5,"Travis Etienne Jr.",JAC,"RB15","9","2 out of 5 stars","-10"
"41",5,"Chris Godwin",TB,"WR20","5","4 out of 5 stars","+26"
"42",5,"DeAndre Hopkins",TEN,"WR21","7","3 out of 5 stars","+8"
"43",5,"DJ Moore",CHI,"WR22","13","3 out of 5 stars","+9"
"44",5,"Drake London",ATL,"WR23","11","4 out of 5 stars","+24"
"45",5,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-11"
"46",5,"Terry McLaurin",WAS,"WR24","14","3 out of 5 stars","+5"
"47",5,"Diontae Johnson",PIT,"WR25","6","3 out of 5 stars","+32"
"48",5,"Christian Watson",GB,"WR26","6","3 out of 5 stars","+7"
"49",5,"Justin Fields",CHI,"QB6","13","5 out of 5 stars","-5"
"50",5,"Tyler Lockett",SEA,"WR27","5","3 out of 5 stars","+22"
"51",5,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","-6"
"52",5,"Brandon Aiyuk",SF,"WR28","9","3 out of 5 stars","+19"
"53",5,"Breece Hall",NYJ,"RB16","7","3 out of 5 stars","-13"
"54",6,"Justin Herbert",LAC,"QB7","5","3 out of 5 stars","-11"
"55",6,"Mike Williams",LAC,"WR29","5","3 out of 5 stars","+4"
"56",6,"Jerry Jeudy",DEN,"WR30","9","2 out of 5 stars","0"
"57",6,"Christian Kirk",JAC,"WR31","9","4 out of 5 stars","+19"
"58",6,"Marquise Brown",ARI,"WR32","14","3 out of 5 stars","+27"
"59",6,"Kenneth Walker III",SEA,"RB17","5","2 out of 5 stars","-13"
"60",6,"Michael Pittman Jr.",IND,"WR33","11","4 out of 5 stars","+20"
"61",6,"Miles Sanders",CAR,"RB18","7","4 out of 5 stars","-13"
"62",6,"Mike Evans",TB,"WR34","5","4 out of 5 stars","+13"
"63",6,"Darren Waller",NYG,"TE4","13","1 out of 5 stars","-10"
"64",6,"Dameon Pierce",HOU,"RB19","7","3 out of 5 stars","-17"
"65",6,"Alexander Mattison",MIN,"RB20","13","5 out of 5 stars","-1"
"66",6,"Trevor Lawrence",JAC,"QB8","9","3 out of 5 stars","-12"
"67",6,"J.K. Dobbins",BAL,"RB21","13","3 out of 5 stars","-6"
"68",6,"Jahan Dotson",WAS,"WR35","14","3 out of 5 stars","+20"
"69",6,"James Conner",ARI,"RB22","14","3 out of 5 stars","-6"
"70",6,"Rachaad White",TB,"RB23","5","3 out of 5 stars","-4"
"71",6,"George Kittle",SF,"TE5","9","3 out of 5 stars","-22"
"72",6,"Cam Akers",LAR,"RB24","10","3 out of 5 stars","-10"
"73",7,"George Pickens",PIT,"WR36","6","3 out of 5 stars","+8"
"74",7,"Dallas Goedert",PHI,"TE6","10","2 out of 5 stars","-14"
"75",7,"Kyle Pitts",ATL,"TE7","11","3 out of 5 stars","-18"
"76",7,"Jordan Addison",MIN,"WR37","13","3 out of 5 stars","+16"
"77",7,"James Cook",BUF,"RB25","13","2 out of 5 stars","-3"
"78",7,"Alvin Kamara",NO,"RB26","11","4 out of 5 stars","-20"
"79",7,"Javonte Williams",DEN,"RB27","9","4 out of 5 stars","-10"
"80",7,"Brandin Cooks",DAL,"WR38","7","2 out of 5 stars","+10"
"81",7,"David Montgomery",DET,"RB28","9","5 out of 5 stars","+2"
"82",7,"Courtland Sutton",DEN,"WR39","9","2 out of 5 stars","+18"
"83",7,"Gabe Davis",BUF,"WR40","13","2 out of 5 stars","+19"
"84",7,"Jaxon Smith-Njigba",SEA,"WR41","5","3 out of 5 stars","+10"
"85",7,"D'Andre Swift",PHI,"RB29","10","1 out of 5 stars","-15"
"86",7,"Treylon Burks",TEN,"WR42","7","3 out of 5 stars","+18"
"87",7,"Isiah Pacheco",KC,"RB30","10","4 out of 5 stars","-14"
"88",7,"JuJu Smith-Schuster",NE,"WR43","11","2 out of 5 stars","+13"
"89",7,"Dalvin Cook",NYJ,"RB31","7","3 out of 5 stars","-24"
"90",7,"Zay Flowers",BAL,"WR44","13","3 out of 5 stars","+22"
"91",7,"Michael Thomas",NO,"WR45","11","4 out of 5 stars","+8"
"92",7,"Elijah Moore",CLE,"WR46","5","3 out of 5 stars","+53"
"93",7,"Antonio Gibson",WAS,"RB32","14","3 out of 5 stars","+14"
"94",7,"Deshaun Watson",CLE,"QB9","5","2 out of 5 stars","-17"
"95",8,"Dak Prescott",DAL,"QB10","7","2 out of 5 stars","-11"
"96",8,"Evan Engram",JAC,"TE8","9","2 out of 5 stars","-18"
"97",8,"Khalil Herbert",CHI,"RB33","13","5 out of 5 stars","-2"
"98",8,"Jakobi Meyers",LV,"WR47","13","2 out of 5 stars","+46"
"99",8,"Tua Tagovailoa",MIA,"QB11","10","2 out of 5 stars","-12"
"100",8,"Pat Freiermuth",PIT,"TE9","6","4 out of 5 stars","-9"
"101",8,"Daniel Jones",NYG,"QB12","13","1 out of 5 stars","+15"
"102",8,"AJ Dillon",GB,"RB34","6","4 out of 5 stars","-13"
"103",8,"Rashod Bateman",BAL,"WR48","13","3 out of 5 stars","+47"
"104",8,"Quentin Johnston",LAC,"WR49","5","3 out of 5 stars","+14"
"105",8,"Skyy Moore",KC,"WR50","10","2 out of 5 stars","+22"
"106",8,"Kirk Cousins",MIN,"QB13","13","4 out of 5 stars","-1"
"107",8,"Brian Robinson Jr.",WAS,"RB35","14","3 out of 5 stars","-4"
"108",8,"Samaje Perine",DEN,"RB36","9","4 out of 5 stars","+3"
"109",8,"Geno Smith",SEA,"QB14","5","2 out of 5 stars","+8"
"110",8,"Kadarius Toney",KC,"WR51","10","2 out of 5 stars","+4"
"111",8,"Anthony Richardson",IND,"QB15","11","4 out of 5 stars","+2"
"112",8,"Nico Collins",HOU,"WR52","7","4 out of 5 stars","+60"
"113",8,"David Njoku",CLE,"TE10","5","3 out of 5 stars","-31"
"114",8,"Zach Charbonnet",SEA,"RB37","5","2 out of 5 stars","-4"
"115",8,"Jerick McKinnon",KC,"RB38","10","4 out of 5 stars","+5"
"116",8,"Allen Lazard",NYJ,"WR53","7","3 out of 5 stars","+20"
"117",8,"Aaron Rodgers",NYJ,"QB16","7","2 out of 5 stars","-21"
"118",8,"Romeo Doubs",GB,"WR54","6","3 out of 5 stars","+51"
"119",8,"Jamaal Williams",NO,"RB39","11","4 out of 5 stars","-22"
"120",8,"Zay Jones",JAC,"WR55","9","4 out of 5 stars","+47"
"121",8,"Tyler Boyd",CIN,"WR56","7","4 out of 5 stars","+31"
"122",8,"Rondale Moore",ARI,"WR57","14","3 out of 5 stars","+54"
"123",8,"Jared Goff",DET,"QB17","9","4 out of 5 stars","+10"
"124",8,"Darnell Mooney",CHI,"WR58","13","3 out of 5 stars","+46"
"125",8,"Odell Beckham Jr.",BAL,"WR59","13","3 out of 5 stars","-27"
