"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASSING_YDS","PASSING_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Justin Jefferson",MIN,"368.7","0","0","128","1809","8","4","24","1"
"2",1,"Ja'Marr Chase",CIN,"242.4","0","0","87","1046","9","5","8","0"
"3",1,"Christian McCaffrey",SF,"356.4","0","0","85","741","5","244","1139","8"
"4",1,"Cooper Kupp",LAR,"201.4","0","0","75","812","6","9","52","1"
"5",1,"Tyreek Hill",MIA,"341.2","0","0","119","1710","7","7","32","1"
"6",2,"Travis Kelce",KC,"316.3","0","0","110","1338","12","2","5","0"
"7",2,"Austin Ekeler",LAC,"372.7","0","0","107","722","5","204","915","13"
"8",2,"Stefon Diggs",BUF,"321.2","0","0","110","1455","11","1","-3","0"
"9",2,"CeeDee Lamb",DAL,"301.6","0","0","107","1359","9","10","47","0"
"10",2,"Amon-Ra St. Brown",DET,"267.6","0","0","106","1161","6","9","95","0"
"11",2,"Saquon Barkley",NYG,"284","0","0","57","338","0","295","1312","10"
"12",2,"A.J. Brown",PHI,"299.6","0","0","88","1496","11","0","0","0"
"13",2,"Davante Adams",LV,"335.5","0","0","100","1516","14","3","-1","0"
"14",3,"Garrett Wilson",NYJ,"215.7","0","0","83","1103","4","4","4","0"
"15",3,"Tony Pollard",DAL,"248.8","0","0","39","371","3","193","1007","9"
"16",3,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0","0"
"17",3,"Nick Chubb",CLE,"281.4","0","0","27","239","1","302","1525","12"
"18",3,"Jaylen Waddle",MIA,"259.2","0","0","75","1356","8","3","26","0"
"19",3,"Chris Olave",NO,"198.2","0","0","72","1042","4","0","0","0"
"20",3,"Derrick Henry",TEN,"302.8","0","0","33","398","0","349","1538","13"
"21",4,"DeVonta Smith",PHI,"254.6","0","0","95","1196","7","0","0","0"
"22",4,"Josh Jacobs",LV,"328.3","0","0","53","400","0","340","1653","12"
"23",4,"Keenan Allen",LAC,"164","0","0","66","752","4","1","8","0"
"24",4,"Patrick Mahomes II",KC,"429.4","5250","41","0","0","0","61","358","4"
"25",4,"Tee Higgins",CIN,"223.2","0","0","75","1042","7","0","0","0"
"26",4,"Jalen Hurts",PHI,"384","3701","22","0","0","0","165","760","13"
"27",4,"Jonathan Taylor",IND,"146.4","0","0","28","143","0","192","861","4"
"28",4,"Josh Allen",BUF,"412.2","4316","35","0","0","0","126","776","7"
"29",4,"Rhamondre Stevenson",NE,"249.1","0","0","69","421","1","210","1040","5"
"30",4,"DK Metcalf",SEA,"226.8","0","0","90","1048","6","0","0","0"
